state,node,zone,I_identity,B_behavior,C_context,T_trust_0_4I_0_3B_0_3C,theta_path,trust_pass,BN,MOD,theta_bn,theta_mod,struct_pass_raw,struct_exempt_core_or_endpoint,struct_pass_after_exemption,composite_node_mask
DELAY_SPIKE,16,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
DELAY_SPIKE,17,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
DELAY_SPIKE,18,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,0,Core,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,3.000000,0.000000,1.450772,False,True,True,True
STRUCTURE_MITIGATED,1,Core,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
STRUCTURE_MITIGATED,2,Core,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
STRUCTURE_MITIGATED,3,Core,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
STRUCTURE_MITIGATED,4,Core,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,True,True,True
STRUCTURE_MITIGATED,5,DMZ,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,6,DMZ,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,7,FIN,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
STRUCTURE_MITIGATED,8,FIN,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,9,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,10,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,11,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,12,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,13,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,14,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
STRUCTURE_MITIGATED,15,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,16,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,17,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
STRUCTURE_MITIGATED,18,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
